fname,n
A,4
AALIYAH,1
AARIS,1
AARON,61
ABBIE,1
ABBY,5
ABDIEL,2
ABEL,6
ABIGAIL,9
ADA,8
ADALEEN,2
ADALENE,2
ADAM,66
ADANA,1
ADASHIA,2
ADDIE,2
ADELL,2
ADRIAN,7
ADRIANNE,2
ADRIENE,1
ADRIENNE,3
AGNES,2
AGUSTINA,1
AHSLEY,3
AIKUZZURA,1
AILEEN,4
AIMEE,7
AL,1
ALAINA,2
ALAN,43
ALANA,4
ALANNA,2
ALBERT,29
ALCYONE,1
ALDEN,13
ALDON,2
ALDONNA,2
ALECIA,4
ALEIDA,2
ALEISHA,2
ALENA,2
ALENE,2
ALENIA,2
ALERIE,2
ALESHA,2
ALESHIA,1
ALESIA,2
ALETTA,2
ALEX,7
ALEXA,2
ALEXANDER,20
ALEXANDRA,7
ALEXANDRIA,6
ALEXIA,3
ALEXIS,5
ALFRED,10
ALFREDO,2
ALI,4
ALICE,57
ALICHA,2
ALICIA,26
ALINA,2
ALISA,5
ALISHA,4
ALISON,6
ALISSA,3
ALLAN,11
ALLEN,30
ALLENE,2
ALLIE,2
ALLISON,23
ALLISYN,2
ALLYSON,5
ALMA,39
ALTHA,2
ALTHEA,1
ALTON,11
ALVA,2
ALVIN,11
ALVIOLA,1
ALVIS,1
ALYCE,2
ALYSA,1
ALYSE,1
ALYSON,2
ALYSSA,6
AMANDA,130
AMARILYS,2
AMARYLLIS,2
AMBER,35
AMBERLY,2
AMBROSE,1
AMELIA,15
AMERICA,2
AMETH,2
AMI,2
AMIE,3
AMMIE,1
AMPARO,2
AMY,83
AMYE,1
ANA,3
ANABEL,1
ANASTASIA,2
ANDERSON,1
ANDR'E,2
ANDRE,4
ANDREA,24
ANDREW,88
ANDY,12
ANGEL,6
ANGELA,124
ANGELIA,8
ANGELICA,2
ANGELINE,2
ANGENELLE,2
ANGIE,9
ANISE,3
ANISSA,2
ANITA,47
ANN,34
ANNA,69
ANNABEL,1
ANNABELL,1
ANNABELLE,1
ANNAMARIE,2
ANNE,31
ANNEMARIE,1
ANNETTA,2
ANNETTE,27
ANNIE,17
ANSEL,3
ANTHONY,84
ANTOINE,1
ANTOINETTE,1
ANTON,1
ANTONIA,1
ANTONIO,3
ANTONY,4
APREL,2
APRIL,54
ARCEMUS,2
ARCH,2
ARCHIE,9
ARECEMUS,2
ARES,2
ARGENIA,2
ARIC,2
ARIEL,2
ARLE,1
ARLEEN,2
ARLEN,4
ARLENE,12
ARLINDA,2
ARLINE,2
ARLISA,2
ARLO,1
ARMIN,6
ARNETTA,2
ARNIE,2
ARNOLD,26
ARON,1
ARTHUR,38
ARTHURENE,1
ARTIE,2
ARVIL,6
ARVIN,2
ASA,2
ASHELEY,1
ASHLEE,2
ASHLEIGH,4
ASHLEY,100
ASHLYN,5
ASHLYNN,2
ASHTON,1
ASHVIN,2
ASIA,3
ASTA,2
ASTRA,2
ASUNCION,2
ATHENA,2
ATHLENE,2
ATLAS,5
AUBREY,8
AUBURN,3
AUDRA,1
AUDREY,15
AUDRIANNA,2
AUDRY,2
AUGUST,2
AUGUSTUS,1
AUSTIN,30
AUTUMN,8
AVA,5
AVERIE,2
AVERY,6
AVIN,2
AVIS,1
AXIE,2
AYLA,1
AZELLE,2
AZRA,1
B,3
BABBARA,1
BACCHUS,2
BACHUS,3
BAILEY,3
BALLARD,1
BALTHAZAR,1
BANNER,2
BARBARA,213
BARBARANN,1
BARBIE,2
BARBRO,1
BARRETT,2
BARRON,2
BARRY,14
BART,2
BARTHOLOMEW,2
BARTOR,2
