lname,n
ABARE,1
ABERNATHY,4
ABRAHAM,2
ABRAM,1
ABRAMS,4
ACHARD,1
ACUFF,2
ADAM,1
ADAMS,14
ADERMAN,2
ADKINS,66
ADKINSON,6
ADORNO,1
AFTON,2
AGUAR,1
AHERN,1
AIERSTOCK,2
AIKEN,2
AIKUZZURA,1
AKERS,5
AKINS,2
ALCOCK,6
ALDEN,2
ALDRIDGE,25
ALDRIDGE-MATHSON,1
ALEXANDER,6
ALFORD,4
ALLEGRETTI,1
ALLEN,232
ALLEY,8
ALLISON,15
ALLMAN,2
ALLMON,2
ALLTON,1
ALSTON,2
ALTIMUS,6
ALVARADO,3
AMATA,3
AMBROSE,1
AMELUNG,2
AMERINE,2
AMMONS,2
AMSBERRY,2
ANAZIA,5
ANDERS,15
ANDERSON,29
ANDERSON-BONNER,1
ANDERSSON,2
ANDRADE,2
ANDREA,4
ANDREWS,12
ANGEL,55
ANGLEY,2
ANGLIN,89
ANTHONY,7
ANTILL,3
ANTINORI,2
ANTOSEK,2
APPLE,1
APPNER,4
ARCHER,7
ARCHULETA,1
ARGENT,2
ARGENTINA,2
ARISS,2
ARMSTRONG,1
ARNETTE,2
ARNOLD,9
ARNSDORFF,2
ARRINGTON,3
ARROWOOD,13
ARTEMISIA,1
ASH,10
ASHBURN,1
ASHBURY,1
ASHCRAFT,3
ASHE,4
ASHER,2
ASHLEY,4
ASHTON,3
ASKINS,2
ASTIN,2
ATEN,2
ATHERTON,2
ATKINS,35
ATUK,2
AUSTIN,116
AUSTIN-MARRELLI,2
AUTREY,163
AVANT,1
AVERY-YOUNG,2
AYALA,12
AYERS,126
AYSCUE,3
BABB,7
BACH,4
BACHE,4
BADAME,2
BADER,2
BADGLEY,9
BADSCHILD,1
BAGGETT,4
BAGWELL,19
BAHAM,1
BAILEY,146
BAILEY-MILLER,1
BAIN,4
BAINBRIDGE,1
BAIR,2
BAKER,50
BAKER-HAIRE,1
BAKER-WILSON,2
BALACKY,2
BALDWIN,8
BALL,42
BALLARD,22
BALLEW,84
BALLIET,4
BANEK,4
BANKS,249
BANNER,19
BARAN,1
BARANCZYK,1
BARBELET,2
BARBER,1
BARE,5
BARHAM,6
BARHORST,3
BARKER,1
BARLETT,2
BARLEY,1
BARLOWSKI,4
BARNARD,3
BARNES,29
BARNETT,56
BARNETTE,2
BARONE,2
