fname,src,n
A,A,2
A,B,2
AALIYAH,B,1
AARIS,A,1
AARON,A,30
AARON,B,31
ABBIE,A,1
ABBY,A,1
ABBY,B,4
ABDIEL,A,1
ABDIEL,B,1
ABEL,A,3
ABEL,B,3
ABIGAIL,A,2
ABIGAIL,B,7
ADA,A,5
ADA,B,3
ADALEEN,A,1
ADALEEN,B,1
ADALENE,A,1
ADALENE,B,1
ADAM,A,32
ADAM,B,34
ADANA,B,1
ADASHIA,A,1
ADASHIA,B,1
ADDIE,A,1
ADDIE,B,1
ADELL,A,1
ADELL,B,1
ADRIAN,A,3
ADRIAN,B,4
ADRIANNE,A,1
ADRIANNE,B,1
ADRIENE,A,1
ADRIENNE,A,1
ADRIENNE,B,2
AGNES,A,1
AGNES,B,1
AGUSTINA,B,1
AHSLEY,A,1
AHSLEY,B,2
AIKUZZURA,A,1
AILEEN,A,2
AILEEN,B,2
AIMEE,A,3
AIMEE,B,4
AL,B,1
ALAINA,A,1
ALAINA,B,1
ALAN,A,21
ALAN,B,22
ALANA,A,2
ALANA,B,2
ALANNA,A,1
ALANNA,B,1
ALBERT,A,15
ALBERT,B,14
ALCYONE,B,1
ALDEN,A,7
ALDEN,B,6
ALDON,A,1
ALDON,B,1
ALDONNA,A,1
ALDONNA,B,1
ALECIA,A,2
ALECIA,B,2
ALEIDA,A,1
ALEIDA,B,1
ALEISHA,A,1
ALEISHA,B,1
ALENA,A,1
ALENA,B,1
ALENE,A,1
ALENE,B,1
ALENIA,A,1
ALENIA,B,1
ALERIE,A,1
ALERIE,B,1
ALESHA,A,1
ALESHA,B,1
ALESHIA,B,1
ALESIA,A,1
ALESIA,B,1
ALETTA,A,1
ALETTA,B,1
ALEX,A,3
ALEX,B,4
ALEXA,A,1
ALEXA,B,1
ALEXANDER,A,10
ALEXANDER,B,10
ALEXANDRA,A,3
ALEXANDRA,B,4
ALEXANDRIA,A,2
ALEXANDRIA,B,4
ALEXIA,A,2
ALEXIA,B,1
ALEXIS,A,2
ALEXIS,B,3
ALFRED,A,6
ALFRED,B,4
ALFREDO,A,1
ALFREDO,B,1
ALI,A,2
ALI,B,2
ALICE,A,30
ALICE,B,27
ALICHA,A,1
ALICHA,B,1
ALICIA,A,13
ALICIA,B,13
ALINA,A,1
ALINA,B,1
ALISA,A,2
ALISA,B,3
ALISHA,A,2
ALISHA,B,2
ALISON,A,3
ALISON,B,3
ALISSA,A,1
ALISSA,B,2
ALLAN,A,5
ALLAN,B,6
ALLEN,A,18
ALLEN,B,12
ALLENE,A,1
ALLENE,B,1
ALLIE,A,1
ALLIE,B,1
ALLISON,A,10
ALLISON,B,13
ALLISYN,A,1
ALLISYN,B,1
ALLYSON,A,3
ALLYSON,B,2
ALMA,A,20
ALMA,B,19
ALTHA,A,1
ALTHA,B,1
ALTHEA,A,1
ALTON,A,6
ALTON,B,5
ALVA,A,1
ALVA,B,1
ALVIN,A,6
ALVIN,B,5
ALVIOLA,B,1
ALVIS,A,1
ALYCE,A,1
ALYCE,B,1
ALYSA,A,1
ALYSE,B,1
ALYSON,A,1
ALYSON,B,1
ALYSSA,A,3
ALYSSA,B,3
AMANDA,A,64
AMANDA,B,66
AMARILYS,A,1
AMARILYS,B,1
AMARYLLIS,A,1
AMARYLLIS,B,1
AMBER,A,15
AMBER,B,20
AMBERLY,B,2
AMBROSE,A,1
AMELIA,A,8
AMELIA,B,7
AMERICA,A,1
AMERICA,B,1
AMETH,A,1
AMETH,B,1
AMI,A,1
AMI,B,1
AMIE,A,2
AMIE,B,1
AMMIE,B,1
AMPARO,A,1
AMPARO,B,1
AMY,A,43
AMY,B,40
AMYE,B,1
ANA,A,2
ANA,B,1
ANABEL,A,1
ANASTASIA,A,1
ANASTASIA,B,1
ANDERSON,A,1
ANDR'E,A,1
ANDR'E,B,1
ANDRE,A,2
ANDRE,B,2
ANDREA,A,13
ANDREA,B,11
ANDREW,A,38
ANDREW,B,50
ANDY,A,6
ANDY,B,6
ANGEL,A,2
ANGEL,B,4
ANGELA,A,59
ANGELA,B,65
ANGELIA,A,4
ANGELIA,B,4
ANGELICA,A,1
ANGELICA,B,1
ANGELINE,A,1
ANGELINE,B,1
ANGENELLE,A,1
ANGENELLE,B,1
ANGIE,A,5
ANGIE,B,4
ANISE,A,2
ANISE,B,1
ANISSA,A,1
ANISSA,B,1
ANITA,A,23
ANITA,B,24
ANN,A,18
ANN,B,16
ANNA,A,35
ANNA,B,34
ANNABEL,A,1
ANNABELL,B,1
ANNABELLE,A,1
ANNAMARIE,A,1
ANNAMARIE,B,1
ANNE,A,15
ANNE,B,16
ANNEMARIE,A,1
ANNETTA,A,1
ANNETTA,B,1
ANNETTE,A,13
ANNETTE,B,14
ANNIE,A,10
ANNIE,B,7
ANSEL,A,1
ANSEL,B,2
ANTHONY,A,43
ANTHONY,B,41
ANTOINE,A,1
ANTOINETTE,A,1
ANTON,B,1
ANTONIA,A,1
ANTONIO,A,1
ANTONIO,B,2
ANTONY,A,2
ANTONY,B,2
APREL,A,1
APREL,B,1
APRIL,A,29
APRIL,B,25
ARCEMUS,A,1
ARCEMUS,B,1
ARCH,A,1
ARCH,B,1
ARCHIE,A,5
ARCHIE,B,4
ARECEMUS,A,1
ARECEMUS,B,1
ARES,A,1
ARES,B,1
ARGENIA,A,1
ARGENIA,B,1
ARIC,A,1
ARIC,B,1
ARIEL,A,1
ARIEL,B,1
ARLE,A,1
ARLEEN,A,1
ARLEEN,B,1
ARLEN,A,2
ARLEN,B,2
ARLENE,A,8
ARLENE,B,4
ARLINDA,A,1
ARLINDA,B,1
ARLINE,A,1
ARLINE,B,1
ARLISA,A,1
ARLISA,B,1
ARLO,A,1
ARMIN,A,3
ARMIN,B,3
ARNETTA,A,1
ARNETTA,B,1
ARNIE,A,1
ARNIE,B,1
ARNOLD,A,16
ARNOLD,B,10
ARON,B,1
ARTHUR,A,20
ARTHUR,B,18
ARTHURENE,A,1
ARTIE,A,1
ARTIE,B,1
ARVIL,A,3
ARVIL,B,3
ARVIN,A,1
ARVIN,B,1
ASA,A,1
ASA,B,1
ASHELEY,B,1
ASHLEE,A,1
ASHLEE,B,1
ASHLEIGH,A,1
ASHLEIGH,B,3
ASHLEY,A,44
ASHLEY,B,56
ASHLYN,A,1
ASHLYN,B,4
ASHLYNN,B,2
ASHTON,B,1
ASHVIN,A,1
ASHVIN,B,1
ASIA,A,1
ASIA,B,2
ASTA,A,1
ASTA,B,1
ASTRA,A,1
ASTRA,B,1
ASUNCION,A,1
ASUNCION,B,1
ATHENA,A,1
ATHENA,B,1
ATHLENE,A,1
ATHLENE,B,1
ATLAS,A,3
ATLAS,B,2
AUBREY,A,4
AUBREY,B,4
AUBURN,A,2
AUBURN,B,1
AUDRA,A,1
AUDREY,A,7
AUDREY,B,8
AUDRIANNA,A,1
AUDRIANNA,B,1
AUDRY,A,1
AUDRY,B,1
AUGUST,A,1
AUGUST,B,1
AUGUSTUS,B,1
AUSTIN,A,12
AUSTIN,B,18
AUTUMN,A,3
AUTUMN,B,5
AVA,A,3
AVA,B,2
AVERIE,A,1
AVERIE,B,1
AVERY,A,3
AVERY,B,3
AVIN,A,1
AVIN,B,1
AVIS,A,1
AXIE,A,1
AXIE,B,1
AYLA,B,1
AZELLE,A,1
AZELLE,B,1
AZRA,B,1
B,A,2
B,B,1
BABBARA,A,1
BACCHUS,A,1
BACCHUS,B,1
BACHUS,A,1
BACHUS,B,2
BAILEY,B,3
BALLARD,B,1
BALTHAZAR,B,1
BANNER,A,1
BANNER,B,1
BARBARA,A,108
BARBARA,B,105
BARBARANN,B,1
BARBIE,A,1
BARBIE,B,1
BARBRO,B,1
BARRETT,A,1
BARRETT,B,1
BARRON,A,1
BARRON,B,1
BARRY,A,7
BARRY,B,7
BART,A,1
BART,B,1
BARTHOLOMEW,A,1
BARTHOLOMEW,B,1
BARTOR,A,1
BARTOR,B,1
BASCOM,A,1
BASCOMBE,A,1
BASIL,A,1
BASIL,B,1
BAYARD,A,1
BAYARD,B,1
BAYLEY,B,1
BEATRICE,A,3
BEATRICE,B,3
BEAVER,A,1
BEAVER,B,1
BECA,B,1
BECKETT,B,1
BECKIE,A,1
BECKIE,B,1
BECKY,A,3
BECKY,B,5
BELINDA,A,4
BELINDA,B,4
BELLA,B,1
BELLE,A,3
BELLE,B,3
BELVIA,A,1
BELVIE,B,1
BEMJAMIN,A,1
BEN,A,9
BEN,B,8
BENITA,A,2
BENITA,B,2
BENJAMIN,A,23
BENJAMIN,B,30
BENJIMAN,A,1
BENJIMAN,B,1
BENNA,A,1
BENNA,B,1
BENNIE,A,5
BENNIE,B,5
BENNY,A,9
BENNY,B,9
BENOIT,A,1
BENOIT,B,1
BENSON,A,1
BENSON,B,1
BERDIE,A,1
