lname,src,n
ABARE,B,1
ABERNATHY,A,2
ABERNATHY,B,2
ABRAHAM,A,1
ABRAHAM,B,1
ABRAM,B,1
ABRAMS,A,2
ABRAMS,B,2
ACHARD,B,1
ACUFF,A,1
ACUFF,B,1
ADAM,A,1
ADAMS,A,7
ADAMS,B,7
ADERMAN,A,1
ADERMAN,B,1
ADKINS,A,36
ADKINS,B,30
ADKINSON,A,3
ADKINSON,B,3
ADORNO,A,1
AFTON,A,1
AFTON,B,1
AGUAR,A,1
AHERN,B,1
AIERSTOCK,A,1
AIERSTOCK,B,1
AIKEN,A,1
AIKEN,B,1
AIKUZZURA,A,1
AKERS,A,3
AKERS,B,2
AKINS,A,1
AKINS,B,1
ALCOCK,A,3
ALCOCK,B,3
ALDEN,A,1
ALDEN,B,1
ALDRIDGE,A,14
ALDRIDGE,B,11
ALDRIDGE-MATHSON,B,1
ALEXANDER,A,2
ALEXANDER,B,4
ALFORD,A,2
ALFORD,B,2
ALLEGRETTI,B,1
ALLEN,A,122
ALLEN,B,110
ALLEY,A,4
ALLEY,B,4
ALLISON,A,8
ALLISON,B,7
ALLMAN,A,1
ALLMAN,B,1
ALLMON,B,2
ALLTON,A,1
ALSTON,B,2
ALTIMUS,A,3
ALTIMUS,B,3
ALVARADO,A,1
ALVARADO,B,2
AMATA,A,2
AMATA,B,1
AMBROSE,A,1
AMELUNG,A,1
AMELUNG,B,1
AMERINE,B,2
AMMONS,A,1
AMMONS,B,1
AMSBERRY,A,1
AMSBERRY,B,1
ANAZIA,A,2
ANAZIA,B,3
ANDERS,A,7
ANDERS,B,8
ANDERSON,A,14
ANDERSON,B,15
ANDERSON-BONNER,A,1
ANDERSSON,B,2
ANDRADE,A,1
ANDRADE,B,1
ANDREA,A,2
ANDREA,B,2
ANDREWS,A,5
ANDREWS,B,7
ANGEL,A,29
ANGEL,B,26
ANGLEY,A,1
ANGLEY,B,1
ANGLIN,A,49
ANGLIN,B,40
ANTHONY,A,5
ANTHONY,B,2
ANTILL,A,2
ANTILL,B,1
ANTINORI,A,2
ANTOSEK,A,1
ANTOSEK,B,1
APPLE,B,1
APPNER,A,2
APPNER,B,2
ARCHER,A,3
ARCHER,B,4
ARCHULETA,B,1
ARGENT,A,1
ARGENT,B,1
ARGENTINA,A,1
ARGENTINA,B,1
ARISS,A,2
ARMSTRONG,A,1
ARNETTE,A,1
ARNETTE,B,1
ARNOLD,A,4
ARNOLD,B,5
ARNSDORFF,A,1
ARNSDORFF,B,1
ARRINGTON,A,2
ARRINGTON,B,1
ARROWOOD,A,6
ARROWOOD,B,7
ARTEMISIA,B,1
ASH,A,5
ASH,B,5
ASHBURN,B,1
ASHBURY,B,1
ASHCRAFT,A,1
ASHCRAFT,B,2
ASHE,A,2
ASHE,B,2
ASHER,A,1
ASHER,B,1
ASHLEY,A,2
ASHLEY,B,2
ASHTON,B,3
ASKINS,A,1
ASKINS,B,1
ASTIN,A,2
ATEN,A,2
ATHERTON,A,1
ATHERTON,B,1
ATKINS,A,20
ATKINS,B,15
ATUK,A,1
ATUK,B,1
AUSTIN,A,53
AUSTIN,B,63
AUSTIN-MARRELLI,A,1
AUSTIN-MARRELLI,B,1
AUTREY,A,82
AUTREY,B,81
AVANT,B,1
AVERY-YOUNG,A,1
AVERY-YOUNG,B,1
AYALA,A,6
AYALA,B,6
AYERS,A,65
AYERS,B,61
AYSCUE,A,2
AYSCUE,B,1
BABB,A,4
BABB,B,3
BACH,A,3
BACH,B,1
BACHE,A,2
BACHE,B,2
BADAME,A,1
BADAME,B,1
BADER,B,2
BADGLEY,A,4
BADGLEY,B,5
BADSCHILD,B,1
BAGGETT,A,2
BAGGETT,B,2
BAGWELL,A,10
BAGWELL,B,9
BAHAM,B,1
BAILEY,A,77
BAILEY,B,69
BAILEY-MILLER,B,1
BAIN,A,2
BAIN,B,2
BAINBRIDGE,B,1
BAIR,A,1
BAIR,B,1
BAKER,A,28
BAKER,B,22
BAKER-HAIRE,A,1
BAKER-WILSON,A,1
BAKER-WILSON,B,1
BALACKY,A,1
BALACKY,B,1
BALDWIN,A,4
BALDWIN,B,4
BALL,A,22
BALL,B,20
BALLARD,A,13
BALLARD,B,9
BALLEW,A,41
BALLEW,B,43
BALLIET,A,2
BALLIET,B,2
BANEK,A,2
